School URL,Rank (2017-18),school type,School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2017-18),Average Standard Score (2016-17),Rank (2016-17),Rank Change from (2016-17),SchoolDigger Star Rating
https://www.schooldigger.com/go/TX/schools/2637006877/school.aspx,212,H,Virginia Allred Stacey Junior/Senior High School,https://www.schooldigger.com/go/TX/schools/2637006877/school.aspx,Lackland Independent School District,https://www.schooldigger.com/go/TX/district/26370/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78236,Bexar,(210) 357-5100,06,12,No,No,No,No,390,36.1,10.7,29.7%,22.1%,0.5%,1.5%,22.8%,2.1%,9.7%,41.3%,78.8,74,293,81,4
https://www.schooldigger.com/go/TX/schools/3312011431/school.aspx,240,H,Brandeis High School,https://www.schooldigger.com/go/TX/schools/3312011431/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78249,Bexar,(210) 397-8200,09,12,No,No,No,No,2703,155.8,17.3,22.4%,5.2%,0.1%,7.5%,54.9%,0.2%,3.1%,28.9%,76.9,78.4,217,-23,4
https://www.schooldigger.com/go/TX/schools/3312007808/school.aspx,248,H,O'Connor High School,https://www.schooldigger.com/go/TX/schools/3312007808/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,Helotes,https://www.schooldigger.com/go/TX/city/Helotes/search.aspx,78023,Bexar,(210) 397-4800,09,12,No,No,No,No,3293,181.9,18.1,21.1%,3.7%,0.1%,2.6%,56.5%,0.2%,3.0%,33.9%,76.6,78,224,-24,4
https://www.schooldigger.com/go/TX/schools/3312003722/school.aspx,269,H,Clark High School,https://www.schooldigger.com/go/TX/schools/3312003722/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78249,Bexar,(210) 397-5150,09,12,No,No,No,No,2877,168.1,17.1,30.5%,6.2%,0.1%,5.0%,55.6%,0.1%,3.1%,30.0%,75.3,75.7,257,-12,4
https://www.schooldigger.com/go/TX/schools/2016001965/school.aspx,270,H,Robert G Cole Middle/High School,https://www.schooldigger.com/go/TX/schools/2016001965/school.aspx,Ft Sam Houston Independent School District,https://www.schooldigger.com/go/TX/district/20160/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78234,Bexar,(210) 368-8730,06,12,No,No,No,No,690,66.8,10.3,22.9%,20.6%,0.9%,2.3%,38.0%,1.0%,7.4%,29.9%,75.1,73.1,310,40,4
https://www.schooldigger.com/go/TX/schools/3873004350/school.aspx,318,H,Fox Technical High School,https://www.schooldigger.com/go/TX/schools/3873004350/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78205,Bexar,(210) 738-9730,09,12,Yes,No,Yes,No,365,23.2,15.6,76.7%,2.5%,0.0%,0.5%,94.0%,0.0%,0.3%,2.7%,72.2,71.4,337,19,4
https://www.schooldigger.com/go/TX/schools/0759000045/school.aspx,326,H,Alamo Heights High School,https://www.schooldigger.com/go/TX/schools/0759000045/school.aspx,Alamo Heights Independent School District,https://www.schooldigger.com/go/TX/district/07590/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78209,Bexar,(210) 820-8850,09,12,No,No,No,No,1596,110.6,14.4,16.9%,1.4%,0.6%,3.3%,41.4%,0.0%,0.6%,52.7%,71.9,75.6,259,-67,4
https://www.schooldigger.com/go/TX/schools/3294003630/school.aspx,341,H,Churchill High School,https://www.schooldigger.com/go/TX/schools/3294003630/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78216,Bexar,(210) 356-0000,09,12,No,No,No,No,2947,170.1,17.3,33.7%,4.3%,0.3%,2.8%,57.1%,0.0%,2.1%,33.3%,70.7,70.3,355,14,4
https://www.schooldigger.com/go/TX/schools/4074013194/school.aspx,346,H,Shirleen Zacharias Early Clge Leadership Academy,https://www.schooldigger.com/go/TX/schools/4074013194/school.aspx,Somerset Independent School District,https://www.schooldigger.com/go/TX/district/40740/search.aspx,Somerset,https://www.schooldigger.com/go/TX/city/Somerset/search.aspx,78069,Bexar,(866) 852-9858,09,12,No,No,No,No,76,6.6,11.5,65.8%,0.0%,3.9%,0.0%,68.4%,0.0%,1.3%,26.3%,70.4,62.1,513,167,4
https://www.schooldigger.com/go/TX/schools/3312006148/school.aspx,372,H,Taft High School,https://www.schooldigger.com/go/TX/schools/3312006148/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78253,Bexar,(210) 397-6000,09,12,No,No,Yes,No,3220,188.5,17,37.2%,9.7%,0.1%,2.5%,64.8%,0.4%,3.7%,18.9%,69.3,66.9,426,54,4
https://www.schooldigger.com/go/TX/schools/2247012943/school.aspx,410,H,Harlandale Independent School District Stem Echs-Alamo Colleges At Pac,https://www.schooldigger.com/go/TX/schools/2247012943/school.aspx,Harlandale Independent School District,https://www.schooldigger.com/go/TX/district/22470/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78214,Bexar,(210) 989-4300,09,12,No,No,No,No,288,13.9,20.5,70.5%,0.7%,0.0%,0.7%,96.9%,0.0%,0.0%,1.7%,67.6,73.5,301,-109,4
https://www.schooldigger.com/go/TX/schools/3312012347/school.aspx,416,H,Brennan High School,https://www.schooldigger.com/go/TX/schools/3312012347/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78253,Bexar,(210) 398-1250,09,12,No,No,No,No,2918,165.3,17.6,30.7%,12.0%,0.3%,1.6%,58.4%,0.4%,4.2%,23.0%,67.3,70.2,358,-58,4
https://www.schooldigger.com/go/TX/schools/3312009134/school.aspx,418,H,Warren High School,https://www.schooldigger.com/go/TX/schools/3312009134/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78251,Bexar,(210) 397-4200,09,12,No,No,No,No,3023,181,16.7,42.3%,7.8%,0.2%,2.2%,75.0%,0.2%,2.2%,12.4%,67.1,67.9,399,-19,4
https://www.schooldigger.com/go/TX/schools/0144113102/school.aspx,437,H,Great Hearts Monte Vista North,https://www.schooldigger.com/go/TX/schools/0144113102/school.aspx,Great Hearts Texas,https://www.schooldigger.com/go/TX/district/01441/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78212,Bexar,(210) 888-9485,06,12,Yes,Yes,No,No,334,21.5,15.5,17.7%,2.1%,0.0%,2.7%,48.5%,0.0%,2.7%,44.0%,66.3,75.1,267,-170,4
https://www.schooldigger.com/go/TX/schools/0026611126/school.aspx,485,H,Harmony Science Academy (San Antonio),https://www.schooldigger.com/go/TX/schools/0026611126/school.aspx,Harmony Science Academy (San Antonio),https://www.schooldigger.com/go/TX/district/00266/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78245,Bexar,(210) 674-7788,06,12,Yes,Yes,No,No,732,50.8,14.3,65.3%,7.5%,0.4%,2.7%,76.4%,0.3%,1.2%,11.5%,63.6,56.2,627,142,4
https://www.schooldigger.com/go/TX/schools/3294003647/school.aspx,497,H,Madison High School,https://www.schooldigger.com/go/TX/schools/3294003647/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78247,Bexar,(210) 356-1400,09,12,No,No,Yes,No,3411,195.5,17.4,45.9%,7.5%,0.2%,2.1%,60.5%,0.2%,2.6%,26.8%,63.1,58.4,588,91,4
https://www.schooldigger.com/go/TX/schools/0006113123/school.aspx,514,H,Frank L Madla Early College High School,https://www.schooldigger.com/go/TX/schools/0006113123/school.aspx,New Frontiers Public Schools Inc,https://www.schooldigger.com/go/TX/district/00061/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78224,Bexar,(210) 533-3655,09,12,No,Yes,No,No,200,9.4,21.2,71.0%,0.0%,0.0%,0.0%,96.5%,0.0%,1.0%,2.5%,62.7,60.4,541,27,4
https://www.schooldigger.com/go/TX/schools/0001407174/school.aspx,515,H,George Gervin Academy,https://www.schooldigger.com/go/TX/schools/0001407174/school.aspx,George Gervin Academy,https://www.schooldigger.com/go/TX/district/00014/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78218,Bexar,(210) 568-8800,PK,12,Yes,Yes,No,No,1246,45.2,27.5,93.7%,38.0%,0.0%,0.3%,55.5%,0.1%,3.7%,2.4%,62.6,58.8,573,58,4
https://www.schooldigger.com/go/TX/schools/3294003646/school.aspx,518,H,MacArthur High School,https://www.schooldigger.com/go/TX/schools/3294003646/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78217,Bexar,(210) 356-7600,09,12,No,No,Yes,No,2520,144.7,17.4,44.8%,8.3%,0.2%,1.9%,59.0%,0.2%,3.0%,27.5%,62.6,63.3,489,-29,4
https://www.schooldigger.com/go/TX/schools/3312003711/school.aspx,684,H,Marshall High School,https://www.schooldigger.com/go/TX/schools/3312003711/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78240,Bexar,(210) 397-7100,09,12,No,No,No,No,2602,160,16.2,43.0%,7.6%,0.3%,4.1%,67.2%,0.2%,2.3%,18.3%,56,58.6,583,-101,3
https://www.schooldigger.com/go/TX/schools/3873013084/school.aspx,802,H,St Philip's College Early College H S With Saisd,https://www.schooldigger.com/go/TX/schools/3873013084/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78203,Bexar,(210) 486-2406,09,12,Yes,Yes,No,No,214,9,23.7,87.4%,14.0%,0.5%,0.0%,83.6%,0.0%,0.5%,1.4%,51,67.7,405,-397,3
https://www.schooldigger.com/go/TX/schools/3294003645/school.aspx,822,H,Lee High School,https://www.schooldigger.com/go/TX/schools/3294003645/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78213,Bexar,(210) 356-0800,09,12,No,No,Yes,No,2692,180.9,14.8,64.8%,4.6%,0.2%,1.6%,79.3%,0.1%,1.2%,13.0%,50.1,48,833,11,3
https://www.schooldigger.com/go/TX/schools/3294003655/school.aspx,897,H,Roosevelt High School,https://www.schooldigger.com/go/TX/schools/3294003655/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78218,Bexar,(210) 356-2200,09,12,No,No,Yes,No,2912,186.4,15.6,66.2%,17.7%,0.3%,3.0%,61.2%,0.3%,3.3%,14.3%,47,44.1,919,22,3
https://www.schooldigger.com/go/TX/schools/0141212313/school.aspx,905,H,Henry Ford Academy Alameda School For Art + Design,https://www.schooldigger.com/go/TX/schools/0141212313/school.aspx,Henry Ford Academy Alameda School For Art + Design,https://www.schooldigger.com/go/TX/district/01412/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78205,Bexar,(210) 226-4031,09,12,Yes,Yes,No,No,113,8,14.1,48.7%,2.7%,0.9%,0.9%,83.2%,0.0%,0.0%,12.4%,46.7,44.2,915,10,3
https://www.schooldigger.com/go/TX/schools/4095004658/school.aspx,985,H,Southwest High School,https://www.schooldigger.com/go/TX/schools/4095004658/school.aspx,Southwest Independent School District,https://www.schooldigger.com/go/TX/district/40950/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78252,Bexar,(210) 622-4500,09,12,Yes,No,No,No,3708,206.8,17.9,76.4%,2.6%,0.0%,0.2%,91.9%,0.1%,0.8%,4.4%,43.6,32,1229,244,2
https://www.schooldigger.com/go/TX/schools/3312010437/school.aspx,1002,H,Stevens High School,https://www.schooldigger.com/go/TX/schools/3312010437/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78251,Bexar,(210) 397-6450,09,12,Yes,No,No,No,2878,172.8,16.6,52.7%,9.1%,0.1%,1.3%,78.2%,0.3%,2.4%,8.7%,42.6,41.4,998,-4,2
https://www.schooldigger.com/go/TX/schools/3294021107/school.aspx,1076,H,Academy Of Creative Educational,https://www.schooldigger.com/go/TX/schools/3294021107/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78217,Bexar,(210) 407-0740,10,12,No,No,No,No,110,11,10,35.5%,10.0%,0.0%,0.0%,52.7%,0.0%,0.9%,36.4%,40.3,,,,2
https://www.schooldigger.com/go/TX/schools/0025712354/school.aspx,1096,H,KIPP University Prep High School,https://www.schooldigger.com/go/TX/schools/0025712354/school.aspx,Kipp San Antonio,https://www.schooldigger.com/go/TX/district/00257/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78204,Bexar,(210) 290-8720,09,12,Yes,Yes,No,No,741,53.7,13.7,85.6%,3.6%,0.0%,0.1%,93.5%,0.0%,0.3%,2.4%,39.4,36.2,1129,33,2
https://www.schooldigger.com/go/TX/schools/3312003701/school.aspx,1103,H,Holmes High School,https://www.schooldigger.com/go/TX/schools/3312003701/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78238,Bexar,(210) 397-7000,09,12,Yes,No,No,No,2939,184.3,15.9,77.4%,5.8%,0.0%,1.5%,84.5%,0.1%,1.0%,7.1%,39.2,42.3,965,-138,2
https://www.schooldigger.com/go/TX/schools/2499002789/school.aspx,1151,H,Judson High School,https://www.schooldigger.com/go/TX/schools/2499002789/school.aspx,Judson Independent School District,https://www.schooldigger.com/go/TX/district/24990/search.aspx,Converse,https://www.schooldigger.com/go/TX/city/Converse/search.aspx,78109,Bexar,(210) 945-1100,09,12,No,No,No,No,3272,190.5,17.1,52.2%,25.4%,0.2%,2.2%,51.6%,0.5%,3.0%,17.2%,37.2,36.8,1112,-39,2
https://www.schooldigger.com/go/TX/schools/2499010445/school.aspx,1158,H,Karen Wagner High School,https://www.schooldigger.com/go/TX/schools/2499010445/school.aspx,Judson Independent School District,https://www.schooldigger.com/go/TX/district/24990/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78244,Bexar,(210) 662-5000,09,12,No,No,No,No,2164,139.3,15.5,71.0%,30.8%,0.2%,1.7%,55.8%,0.1%,1.4%,10.0%,36.8,33.1,1201,43,2
https://www.schooldigger.com/go/TX/schools/0006309118/school.aspx,1177,H,Southwest Preparatory School-Northwest,https://www.schooldigger.com/go/TX/schools/0006309118/school.aspx,Southwest Preparatory School,https://www.schooldigger.com/go/TX/district/00063/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78238,Bexar,(210) 432-2634,05,12,Yes,Yes,No,No,209,12.5,16.7,70.8%,4.8%,0.0%,1.0%,87.6%,0.5%,1.0%,5.3%,36.3,18.1,1502,325,2
https://www.schooldigger.com/go/TX/schools/2247002263/school.aspx,1186,H,McCollum High School,https://www.schooldigger.com/go/TX/schools/2247002263/school.aspx,Harlandale Independent School District,https://www.schooldigger.com/go/TX/district/22470/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78221,Bexar,(210) 989-1500,09,12,Yes,No,No,No,1607,123.2,13,84.4%,0.6%,0.0%,0.3%,95.1%,0.0%,0.2%,3.8%,35.9,37.5,1094,-92,2
https://www.schooldigger.com/go/TX/schools/2499006128/school.aspx,1223,H,Judson Learning Academy,https://www.schooldigger.com/go/TX/schools/2499006128/school.aspx,Judson Independent School District,https://www.schooldigger.com/go/TX/district/24990/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78247,Bexar,(210) 651-4080,10,12,No,No,No,No,87,0.1,725,37.9%,24.1%,0.0%,1.1%,52.9%,0.0%,2.3%,19.5%,34,39,1062,-161,2
https://www.schooldigger.com/go/TX/schools/0144413146/school.aspx,1224,H,Carpe Diem Schools,https://www.schooldigger.com/go/TX/schools/0144413146/school.aspx,Carpe Diem Schools,https://www.schooldigger.com/go/TX/district/01444/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78227,Bexar,(210) 774-9284,06,12,Yes,Yes,No,No,263,4.8,53.7,62.0%,7.6%,0.0%,0.4%,79.1%,0.0%,0.4%,12.5%,33.9,13,1568,344,2
https://www.schooldigger.com/go/TX/schools/3312003706/school.aspx,1261,H,Jay High School,https://www.schooldigger.com/go/TX/schools/3312003706/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78227,Bexar,(210) 397-2700,09,12,Yes,No,Yes,No,3053,190.1,16,71.5%,4.7%,0.0%,0.8%,84.9%,0.2%,1.3%,8.1%,32.6,32.5,1214,-47,2
https://www.schooldigger.com/go/TX/schools/2247002260/school.aspx,1269,H,Harlandale High School,https://www.schooldigger.com/go/TX/schools/2247002260/school.aspx,Harlandale Independent School District,https://www.schooldigger.com/go/TX/district/22470/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78214,Bexar,(210) 989-1000,09,12,Yes,No,No,No,1914,137.1,13.9,88.3%,0.2%,0.1%,0.1%,98.4%,0.0%,0.1%,1.1%,32.2,29.5,1290,21,2
https://www.schooldigger.com/go/TX/schools/0006212237/school.aspx,1295,H,Milton B Lee Academy Of Science & Engineering,https://www.schooldigger.com/go/TX/schools/0006212237/school.aspx,School Of Excellence In Education,https://www.schooldigger.com/go/TX/district/00062/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78213,Bexar,(210) 431-9881,09,12,Yes,Yes,No,No,148,10.2,14.4,87.2%,40.5%,0.0%,0.0%,54.1%,0.7%,2.0%,2.7%,31.1,32,1228,-67,2
https://www.schooldigger.com/go/TX/schools/4074004623/school.aspx,1301,H,Somerset High School,https://www.schooldigger.com/go/TX/schools/4074004623/school.aspx,Somerset Independent School District,https://www.schooldigger.com/go/TX/district/40740/search.aspx,Somerset,https://www.schooldigger.com/go/TX/city/Somerset/search.aspx,78069,Bexar,(866) 852-9861,09,12,Yes,No,No,No,1037,73.5,14,69.6%,1.0%,0.1%,0.0%,87.0%,0.1%,0.5%,11.4%,30.6,30.1,1269,-32,1
https://www.schooldigger.com/go/TX/schools/1785001554/school.aspx,1317,H,East Central High School,https://www.schooldigger.com/go/TX/schools/1785001554/school.aspx,East Central Independent School District,https://www.schooldigger.com/go/TX/district/17850/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78263,Bexar,(210) 649-2951,09,12,No,No,No,No,3106,168,18.4,58.4%,9.0%,0.1%,0.2%,71.9%,0.1%,1.3%,17.4%,29.9,33.4,1194,-123,1
https://www.schooldigger.com/go/TX/schools/4068004617/school.aspx,1324,H,South San Antonio High School,https://www.schooldigger.com/go/TX/schools/4068004617/school.aspx,South San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/40680/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78224,Bexar,(210) 977-7400,08,12,Yes,No,No,No,2546,158.6,16,90.3%,1.4%,0.1%,0.2%,96.8%,0.0%,0.1%,1.4%,29.6,27.5,1331,7,1
https://www.schooldigger.com/go/TX/schools/0020708110/school.aspx,1333,H,Premier H S San Antonio East,https://www.schooldigger.com/go/TX/schools/0020708110/school.aspx,Premier High Schools,https://www.schooldigger.com/go/TX/district/00207/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78218,Bexar,(210) 524-8103,09,12,Yes,Yes,No,No,147,6,24.5,77.6%,14.3%,0.7%,0.7%,60.5%,0.7%,3.4%,19.7%,29.4,44.8,899,-434,1
https://www.schooldigger.com/go/TX/schools/3873004407/school.aspx,1334,H,Brackenridge High School,https://www.schooldigger.com/go/TX/schools/3873004407/school.aspx,San Antonio Independent School District,https://www.schooldigger.com/go/TX/district/38730/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78210,Bexar,(210) 228-1200,09,12,Yes,No,Yes,No,1779,105.2,16.8,89.7%,3.3%,0.0%,0.2%,94.5%,0.0%,0.2%,1.8%,29.4,24.5,1392,58,1
https://www.schooldigger.com/go/TX/schools/0026811128/school.aspx,1346,H,Brooks Academy Of Science And Engineering,https://www.schooldigger.com/go/TX/schools/0026811128/school.aspx,Brooks Academy Of Science And Engineering,https://www.schooldigger.com/go/TX/district/00268/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78235,Bexar,(210) 633-9006,KG,12,Yes,Yes,No,No,1532,68.4,22.3,68.7%,2.4%,0.1%,1.0%,88.3%,0.1%,0.6%,7.4%,28.8,33.8,1179,-167,1
